         8	    0.000001609
        16	    0.000001466
        32	    0.000001864
        64	    0.000001478
       128	    0.000001540
       256	    0.000001588
       512	    0.000001726
      1024	    0.000001860
      2048	    0.000002263
      4096	    0.000003085
      8192	    0.000005407
     16384	    0.000006430
     32768	    0.000008643
     65536	    0.000014145
    131072	    0.000019944
    262144	    0.000036452
    524288	    0.000066693
   1048576	    0.000128751
   2097152	    0.000257249
   4194304	    0.000458286
   8388608	    0.000998580
  16777216	    0.002044909
  33554432	    0.004172902
  67108864	    0.008705330
 134217728	    0.017296531
 268435456	    0.034685800
 536870912	    0.069500010
1073741824	    0.139492168
